Reference,DOI,Final_Alginate_Conc_(%w/v),Final_Gelatin_Conc_(%w/v),Final_GelMA_Conc_(%w/v),Final_Hyaluronic_Acid_Conc_(%w/v),Final_MeHA_Conc_(%w/v),Final_NorHA_Conc_(%w/v),Final_Fibroin/Fibrinogen_Conc_(%w/v),Final_P127_Conc_(%w/v),Final_Collagen_Conc_(%w/v),Final_Chitosan_Conc_(%w/v),Final_CS-AEMA_Conc_(%w/v),Final_TCP_Conc_(%w/v),Final_Gellan_Conc_(%w/v),Final_Nano/Methycellulose_Conc_(%w/v),Final_PEGTA_Conc_(%w/v),Final_PEGMA_Conc_(%w/v),Final_PEGDA_Conc_(%w/v),Final_Agarose_Conc_(%w/v),CaCl2_Conc_(mM),NaCl2_Conc_(mM),BaCl2_Conc_(mM),SrCl2_Conc_(mM),Physical_Crosslinking_Durantion_(s),Photocrosslinking_Duration_(s),Extrusion_Pressure (kPa),Extrusion_Rate_Lengthwise_(mm/s),Extrusion_Rate_Volume-wise_(mL/s),Nozzle_Movement_Speed_(mm/s),Inner_Nozzle_Outer_Diameter_(µm),Outer_Nozzle_Inner_Diameter_(µm),Fiber_Diameter_(µm),Fiber_Spacing_(µm),Cell_Density_(cells/mL),Syringe_Temperature_(°C),Substrate_Temperature_(°C),Days_Observed,Cell_Culture_Medium_Used?,DI_Water_Used?,Precrosslinking_Solution_Used?,Saline_Solution_Used?,EtOH_Solution_Used?,Photoinitiator_Used?,Enzymatic_Crosslinker_Used?,Matrigel_Used?,Conical_or_Straight_Nozzle,Primary/Not_Primary,Viability_at_time_of_observation_(%),Acceptable_Viability_(Yes/No),Acceptable_Pressure_(Yes/No)
Soltan et al. 2019,10.1021/acsbiomaterials.9b00167,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,10,,,25,0,210,1560.65,54,1000000,26,22,7,N,Y,N,N,Y,N,N,N,S,Primary,73,N,N
Soltan et al. 2019,10.1021/acsbiomaterials.9b00167,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,10,,,25,0,210,909.19,54,1000000,26,22,0,N,Y,N,N,Y,N,N,N,S,Primary,99.5,Y,Y
Soltan et al. 2019,10.1021/acsbiomaterials.9b00167,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,10,,,25,0,210,,54,1000000,26,22,7,N,Y,N,N,Y,N,N,N,S,Primary,89,Y,Y
Soltan et al. 2019,10.1021/acsbiomaterials.9b00167,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,10,,,25,0,210,858.15,54,1000000,26,22,0,N,Y,N,N,Y,N,N,N,S,Primary,99,Y,Y
Soltan et al. 2019,10.1021/acsbiomaterials.9b00167,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,10,,,25,0,210,,54,1000000,26,22,7,N,Y,N,N,Y,N,N,N,S,Primary,95,Y,Y
Soltan et al. 2019,10.1021/acsbiomaterials.9b00167,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,10,,,25,0,210,833.96,54,1000000,26,22,0,N,Y,N,N,Y,N,N,N,S,Primary,99.5,Y,Y
Soltan et al. 2019,10.1021/acsbiomaterials.9b00167,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,10,,,25,0,210,,54,1000000,26,22,7,N,Y,N,N,Y,N,N,N,S,Primary,89.5,Y,Y
Jia et al. 2014,10.1016/j.actbio.2014.06.034,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1800,0,,,0.01,,0,,,,1300000,,4,0,Y,Y,N,N,N,N,N,N,,Primary,95,Y,Y
Jia et al. 2014,10.1016/j.actbio.2014.06.034,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1800,0,,,0.01,,0,,,,1300000,,4,0,Y,Y,N,N,N,N,N,N,,Primary,95,Y,Y
Jia et al. 2014,10.1016/j.actbio.2014.06.034,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1800,0,,,0.01,,0,,,,1300000,,4,0,Y,Y,N,N,N,N,N,N,,Primary,95,Y,Y
Jia et al. 2014,10.1016/j.actbio.2014.06.034,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1800,0,,,0.01,,0,,,,1300000,,4,0,Y,Y,N,N,N,N,N,N,,Primary,95,Y,Y
Jia et al. 2014,10.1016/j.actbio.2014.06.034,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1800,0,,,0.01,,0,,,,1300000,,4,0,Y,Y,N,N,N,N,N,N,,Primary,70,N,N
Jia et al. 2014,10.1016/j.actbio.2014.06.034,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1800,0,,,0.01,,0,,,,1300000,,4,0,Y,Y,N,N,N,N,N,N,,Primary,90,Y,Y
Jia et al. 2014,10.1016/j.actbio.2014.06.034,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1800,0,,,0.01,,0,,,,1300000,,4,0,Y,Y,N,N,N,N,N,N,,Primary,95,Y,Y
Jia et al. 2014,10.1016/j.actbio.2014.06.034,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1800,0,,,0.01,,0,,,,1300000,,4,0,Y,Y,N,N,N,N,N,N,,Primary,95,Y,Y
Jia et al. 2014,10.1016/j.actbio.2014.06.034,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1800,0,,,0.01,,0,,,,1300000,,4,0,Y,Y,N,N,N,N,N,N,,Primary,20,N,N
Jia et al. 2014,10.1016/j.actbio.2014.06.034,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1800,0,,,0.01,,0,,,,1300000,,4,0,Y,Y,N,N,N,N,N,N,,Primary,95,Y,Y
Jia et al. 2014,10.1016/j.actbio.2014.06.034,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1800,0,,,0.01,,0,,,,1300000,,4,0,Y,Y,N,N,N,N,N,N,,Primary,95,Y,Y
Jia et al. 2014,10.1016/j.actbio.2014.06.034,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1800,0,,,0.01,,0,,,,1300000,,4,0,Y,Y,N,N,N,N,N,N,,Primary,20,N,N
Jia et al. 2014,10.1016/j.actbio.2014.06.034,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,,,0.01,,0,,,,1300000,,4,0,Y,Y,N,N,N,N,N,N,,Primary,90,Y,Y
Nair et al. 2009,10.1002/biot.200900004,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.47,,,,0,150,,,1000000,22,22,0,Y,Y,N,N,N,N,N,N,,Not_Primary,80,Y,Y
Nair et al. 2009,10.1002/biot.200900004,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.95,,,,0,150,,,1000000,22,22,0,Y,Y,N,N,N,N,N,N,,Not_Primary,75,N,N
Nair et al. 2009,10.1002/biot.200900004,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.9,,,,0,150,,,1000000,22,22,0,Y,Y,N,N,N,N,N,N,,Not_Primary,52,N,N
Nair et al. 2009,10.1002/biot.200900004,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275.79,,,,0,150,,,1000000,22,22,0,Y,Y,N,N,N,N,N,N,,Not_Primary,47,N,N
Nair et al. 2009,10.1002/biot.200900004,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.47,,,,0,250,,,1000000,22,22,0,Y,Y,N,N,N,N,N,N,,Not_Primary,82,Y,Y
Nair et al. 2009,10.1002/biot.200900004,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.95,,,,0,250,,,1000000,22,22,0,Y,Y,N,N,N,N,N,N,,Not_Primary,83,Y,Y
Nair et al. 2009,10.1002/biot.200900004,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.9,,,,0,250,,,1000000,22,22,0,Y,Y,N,N,N,N,N,N,,Not_Primary,58,N,N
Nair et al. 2009,10.1002/biot.200900004,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275.79,,,,0,250,,,1000000,22,22,0,Y,Y,N,N,N,N,N,N,,Not_Primary,51,N,N
Nair et al. 2009,10.1002/biot.200900004,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.47,,,,0,400,,,1000000,22,22,0,Y,Y,N,N,N,N,N,N,,Not_Primary,83,Y,Y
Nair et al. 2009,10.1002/biot.200900004,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.95,,,,0,400,,,1000000,22,22,0,Y,Y,N,N,N,N,N,N,,Not_Primary,84,Y,Y
Nair et al. 2009,10.1002/biot.200900004,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.9,,,,0,400,,,1000000,22,22,0,Y,Y,N,N,N,N,N,N,,Not_Primary,62,N,N
Nair et al. 2009,10.1002/biot.200900004,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275.79,,,,0,400,,,1000000,22,22,0,Y,Y,N,N,N,N,N,N,,Not_Primary,58,N,N
Li et al. 2017,10.1021/acsami.7b04216,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.43,0,0,0,600,0,215,7.6,,,0,250,370.2,,3000000,22,22,0,N,N,Y,Y,N,N,N,N,S,Not_Primary,94,Y,Y
Li et al. 2017,10.1021/acsami.7b04216,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.43,0,0,0,600,0,215,7.6,,,0,250,,,3000000,22,22,3,N,N,Y,Y,N,N,N,N,S,Not_Primary,97,Y,Y
Li et al. 2017,10.1021/acsami.7b04216,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.43,0,0,0,600,0,215,7.6,,,0,250,336.92,,3000000,22,22,5,N,N,Y,Y,N,N,N,N,S,Not_Primary,95,Y,Y
Tabriz et al. 2015,10.1088/1758-5090/7/4/045012,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.45,6,0,330,,,5250000,22,,0,Y,N,Y,N,N,N,N,N,S,Not_Primary,95,Y,Y
Tabriz et al. 2015,10.1088/1758-5090/7/4/045012,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.45,6,0,330,,,5250000,22,,0,Y,N,Y,N,N,N,N,N,S,Not_Primary,94,Y,Y
Tabriz et al. 2015,10.1088/1758-5090/7/4/045012,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.45,6,0,330,,,5250000,22,,0,Y,N,Y,N,N,N,N,N,S,Not_Primary,92,Y,Y
Tabriz et al. 2015,10.1088/1758-5090/7/4/045012,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.45,6,0,330,,,5250000,22,,0,Y,N,Y,N,N,N,N,N,S,Not_Primary,83,Y,Y
Tabriz et al. 2015,10.1088/1758-5090/7/4/045012,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.45,6,0,330,,,5250000,22,,0,Y,N,Y,N,N,N,N,N,S,Not_Primary,61,N,N
Tabriz et al. 2015,10.1088/1758-5090/7/4/045012,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,60,0,720,0,,,0.45,6,0,330,,,5250000,22,,0,Y,N,Y,N,N,N,N,N,S,Not_Primary,92.9,Y,Y
Tabriz et al. 2015,10.1088/1758-5090/7/4/045012,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,60,0,720,0,,,0.45,6,0,330,,,5250000,22,,2,Y,N,Y,N,N,N,N,N,S,Not_Primary,96,Y,Y
Tabriz et al. 2015,10.1088/1758-5090/7/4/045012,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,60,0,720,0,,,0.45,6,0,330,,,5250000,22,,4,Y,N,Y,N,N,N,N,N,S,Not_Primary,94,Y,Y
Tabriz et al. 2015,10.1088/1758-5090/7/4/045012,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,60,0,720,0,,,0.45,6,0,330,,,5250000,22,,7,Y,N,Y,N,N,N,N,N,S,Not_Primary,87,Y,Y
Tabriz et al. 2015,10.1088/1758-5090/7/4/045012,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,60,0,720,0,,,0.45,6,0,330,,,5250000,22,,9,Y,N,Y,N,N,N,N,N,S,Not_Primary,89,Y,Y
Tabriz et al. 2015,10.1088/1758-5090/7/4/045012,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,60,0,720,0,,,0.45,6,0,330,,,5250000,22,,11,Y,N,Y,N,N,N,N,N,S,Not_Primary,88,Y,Y
Müller et al .2017,10.1007/s10439-016-1704-5,1,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,100,0,0,0,720,0,15,,,,0,413,,,6000000,,,1,Y,Y,N,N,N,N,N,N,S,Primary,53,N,N
Müller et al .2017,10.1007/s10439-016-1704-5,1,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,100,0,0,0,720,0,15,,,,0,413,,,6000000,,,14,Y,Y,N,N,N,N,N,N,S,Primary,86,Y,Y
Müller et al .2017,10.1007/s10439-016-1704-5,1,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,100,0,0,0,720,0,15,,,,0,413,,,6000000,,,28,Y,Y,N,N,N,N,N,N,S,Primary,92,Y,Y
Müller et al .2017,10.1007/s10439-016-1704-5,1,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,100,0,0,0,720,0,6,,,,0,413,,,6000000,,,1,Y,Y,N,N,N,N,N,N,C,Primary,53,N,N
Müller et al .2017,10.1007/s10439-016-1704-5,1,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,100,0,0,0,720,0,6,,,,0,413,,,6000000,,,14,Y,Y,N,N,N,N,N,N,C,Primary,83,Y,Y
Müller et al .2017,10.1007/s10439-016-1704-5,1,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,100,0,0,0,720,0,6,,,,0,413,,,6000000,,,28,Y,Y,N,N,N,N,N,N,C,Primary,92,Y,Y
Müller et al .2017,10.1007/s10439-016-1704-5,1,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,100,0,0,0,720,0,21,,,,0,337,,,6000000,,,1,Y,Y,N,N,N,N,N,N,S,Primary,51,N,N
Müller et al .2017,10.1007/s10439-016-1704-5,1,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,100,0,0,0,720,0,21,,,,0,337,,,6000000,,,14,Y,Y,N,N,N,N,N,N,S,Primary,68,N,N
Müller et al .2017,10.1007/s10439-016-1704-5,1,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,100,0,0,0,720,0,21,,,,0,337,,,6000000,,,28,Y,Y,N,N,N,N,N,N,S,Primary,85,Y,Y
Müller et al .2017,10.1007/s10439-016-1704-5,1,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,100,0,0,0,720,0,28,,,,0,260,,,6000000,,,1,Y,Y,N,N,N,N,N,N,C,Primary,62,N,N
Müller et al .2017,10.1007/s10439-016-1704-5,1,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,100,0,0,0,720,0,28,,,,0,260,,,6000000,,,14,Y,Y,N,N,N,N,N,N,C,Primary,73,N,N
Müller et al .2017,10.1007/s10439-016-1704-5,1,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,100,0,0,0,720,0,28,,,,0,260,,,6000000,,,28,Y,Y,N,N,N,N,N,N,C,Primary,94,Y,Y
Müller et al .2017,10.1007/s10439-016-1704-5,1,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,100,0,0,0,720,0,6,,,,0,260,,,6000000,,,1,Y,Y,N,N,N,N,N,N,S,Primary,54.5,N,N
Müller et al .2017,10.1007/s10439-016-1704-5,1,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,100,0,0,0,720,0,6,,,,0,260,,,6000000,,,14,Y,Y,N,N,N,N,N,N,S,Primary,85,Y,Y
Müller et al .2017,10.1007/s10439-016-1704-5,1,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,100,0,0,0,720,0,6,,,,0,260,,,6000000,,,28,Y,Y,N,N,N,N,N,N,S,Primary,90,Y,Y
Müller et al .2017,10.1007/s10439-016-1704-5,1,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,100,0,0,0,720,0,38,,,,0,210,,,6000000,,,1,Y,Y,N,N,N,N,N,N,C,Primary,49,N,N
Müller et al .2017,10.1007/s10439-016-1704-5,1,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,100,0,0,0,720,0,38,,,,0,210,,,6000000,,,14,Y,Y,N,N,N,N,N,N,C,Primary,74,N,N
Müller et al .2017,10.1007/s10439-016-1704-5,1,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,100,0,0,0,720,0,38,,,,0,210,,,6000000,,,28,Y,Y,N,N,N,N,N,N,C,Primary,80,Y,Y
Müller et al .2017,10.1007/s10439-016-1704-5,1,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,100,0,0,0,720,0,10,,,,0,210,,,6000000,,,1,Y,Y,N,N,N,N,N,N,S,Primary,65.5,N,N
Müller et al .2017,10.1007/s10439-016-1704-5,1,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,100,0,0,0,720,0,10,,,,0,210,,,6000000,,,14,Y,Y,N,N,N,N,N,N,S,Primary,65,N,N
Müller et al .2017,10.1007/s10439-016-1704-5,1,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,100,0,0,0,720,0,10,,,,0,210,,,6000000,,,28,Y,Y,N,N,N,N,N,N,S,Primary,72,N,N
Müller et al .2017,10.1007/s10439-016-1704-5,1,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,100,0,0,0,720,0,74,,,,0,159,,,6000000,,,1,Y,Y,N,N,N,N,N,N,S,Primary,60,N,N
Müller et al .2017,10.1007/s10439-016-1704-5,1,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,100,0,0,0,720,0,74,,,,0,159,,,6000000,,,14,Y,Y,N,N,N,N,N,N,S,Primary,54,N,N
Müller et al .2017,10.1007/s10439-016-1704-5,1,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,100,0,0,0,720,0,74,,,,0,159,,,6000000,,,28,Y,Y,N,N,N,N,N,N,S,Primary,80,Y,Y
Müller et al .2017,10.1007/s10439-016-1704-5,1,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,100,0,0,0,720,0,45,,,,0,150,,,6000000,,,1,Y,Y,N,N,N,N,N,N,S,Primary,55,N,N
Müller et al .2017,10.1007/s10439-016-1704-5,1,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,100,0,0,0,720,0,45,,,,0,150,,,6000000,,,14,Y,Y,N,N,N,N,N,N,S,Primary,59,N,N
Müller et al .2017,10.1007/s10439-016-1704-5,1,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,100,0,0,0,720,0,45,,,,0,150,,,6000000,,,28,Y,Y,N,N,N,N,N,N,S,Primary,68,N,N
Müller et al .2017,10.1007/s10439-016-1704-5,1,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,100,0,0,0,720,0,45,,,,0,300,,,6000000,,,1,Y,Y,N,N,N,N,N,N,S,Primary,58,N,N
Müller et al .2017,10.1007/s10439-016-1704-5,1,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,100,0,0,0,720,0,45,,,,0,300,,,6000000,,,14,Y,Y,N,N,N,N,N,N,S,Primary,59.5,N,N
Müller et al .2017,10.1007/s10439-016-1704-5,1,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,100,0,0,0,720,0,45,,,,0,300,,,6000000,,,28,Y,Y,N,N,N,N,N,N,S,Primary,65,N,N
Ning et al. 2018,10.1088/1758-5090/aacd30,2,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1080,0,30,9,,,0,200,287.01,,1000000,,22,1,Y,N,N,Y,N,N,Y,N,S,Not_Primary,89.1,Y,Y
Ning et al. 2018,10.1088/1758-5090/aacd30,2,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1080,0,30,9,,,0,200,308.09,,1000000,,22,4,Y,N,N,Y,N,N,Y,N,S,Not_Primary,97.8,Y,Y
Ning et al. 2018,10.1088/1758-5090/aacd30,2,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1080,0,30,9,,,0,200,328.74,,1000000,,22,10,Y,N,N,Y,N,N,Y,N,S,Not_Primary,98,Y,Y
Ning et al. 2018,10.1088/1758-5090/aacd30,2,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1080,0,30,9,,,0,200,286.84,,1000000,,22,1,Y,N,N,Y,N,N,Y,N,S,Not_Primary,90.4,Y,Y
