"operator","inout_travelling","network_type","rating","calldrop_category","latitude","longitude","state_name"
"Airtel","Indoor","4G","4","Satisfactory","13.9366714","75.5481345","Karnataka"
"VI","Outdoor","4G","4","Satisfactory","18.5197913","73.856193","Maharashtra"
"VI","Indoor","4G","4","Satisfactory","18.5197841","73.8561956","Maharashtra"
"VI","Indoor","4G","4","Satisfactory","18.5197838","73.8561849","Maharashtra"
"VI","Indoor","4G","4","Satisfactory","18.5197492","73.8561743","Maharashtra"
"VI","Indoor","2G","5","Satisfactory","18.4789731","74.0266937","Maharashtra"
"VI","Indoor","4G","1","Poor Voice Quality","-1","-1","NA "
"RJio","Outdoor","4G","4","Satisfactory","28.6578176","77.2322741","Delhi"
"RJio","Outdoor","4G","1","Poor Voice Quality","28.6572421","77.2319266","Delhi"
"RJio","Indoor","4G","1","Poor Voice Quality","28.6659713","77.2610256","Delhi"
"Airtel","Indoor","4G","4","Satisfactory","10.30300351","76.22315361","Kerala"
"RJio","Outdoor","4G","5","Satisfactory","-1","-1","NA "
"RJio","Indoor","4G","1","Call Dropped","-1","-1","NA "
"VI","Travelling","4G","2","Poor Voice Quality","18.95507781","72.80138127","Maharashtra"
"Airtel","Indoor","Unknown","3","Call Dropped","-1","-1","NA "
"Airtel","Indoor","4G","1","Poor Voice Quality","-1","-1","NA "
"Airtel","Outdoor","4G","5","Satisfactory","-1","-1","NA "
"Airtel","Indoor","Unknown","2","Poor Voice Quality","-1","-1","NA "
"Airtel","Outdoor","Unknown","1","Poor Voice Quality","-1","-1","NA "
"Airtel","Outdoor","Unknown","1","Poor Voice Quality","-1","-1","NA "
"RJio","Indoor","4G","1","Call Dropped","28.5953245","77.0242244","Delhi"
"VI","Travelling","4G","1","Poor Voice Quality","21.12307011","79.06782401","Maharashtra"
"VI","Indoor","4G","5","Satisfactory","21.12307011","79.06782401","Maharashtra"
"VI","Indoor","4G","1","Call Dropped","21.12307011","79.06782401","Maharashtra"
"VI","Indoor","4G","1","Call Dropped","21.12307011","79.06782401","Maharashtra"
"VI","Indoor","Unknown","1","Call Dropped","21.12307011","79.06782401","Maharashtra"
"VI","Indoor","Unknown","1","Call Dropped","21.12307011","79.06782401","Maharashtra"
"Airtel","Indoor","4G","2","Poor Voice Quality","18.44208851","73.84835771","Maharashtra"
"Airtel","Indoor","Unknown","4","Satisfactory","13.93681515","75.54820505","Karnataka"
"Airtel","Indoor","4G","3","Satisfactory","21.14109932","72.76511836","Gujarat"
"RJio","Outdoor","4G","5","Satisfactory","-1","-1","NA "
"RJio","Outdoor","4G","5","Satisfactory","-1","-1","NA "
"RJio","Outdoor","4G","5","Satisfactory","-1","-1","NA "
"VI","Indoor","4G","1","Call Dropped","-1","-1","NA "
"Airtel","Indoor","Unknown","1","Poor Voice Quality","21.14109932","72.76511836","Gujarat"
"VI","Indoor","4G","1","Call Dropped","-1","-1","NA "
"VI","Indoor","4G","1","Call Dropped","-1","-1","NA "
"Airtel","Indoor","4G","4","Satisfactory","13.936897","75.5483356","Karnataka"
"Airtel","Indoor","Unknown","4","Satisfactory","13.93672866","75.54823426","Karnataka"
"VI","Indoor","4G","5","Satisfactory","23.16386685","77.44577318","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.16386685","77.44577318","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.16386685","77.44577318","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.16386685","77.44577318","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.16360567","77.44581115","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.16376668","77.44610134","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.1637883","77.4461212","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.1638058","77.4461145","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.1673365","77.4449185","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.1635691","77.4459492","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.1673365","77.4449185","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.1673365","77.4449185","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.1639902","77.4445724","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.1639902","77.4445724","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.16376538","77.44605197","Madhya Pradesh"
"Airtel","Indoor","Unknown","4","Satisfactory","13.93672866","75.54823426","Karnataka"
"VI","Outdoor","2G","5","Satisfactory","-1","-1","NA "
"VI","Indoor","4G","5","Satisfactory","-1","-1","NA "
"VI","Outdoor","4G","5","Satisfactory","-1","-1","NA "
"VI","Indoor","4G","5","Satisfactory","-1","-1","NA "
"VI","Indoor","4G","5","Satisfactory","-1","-1","NA "
"VI","Outdoor","4G","5","Satisfactory","-1","-1","NA "
"VI","Indoor","4G","5","Satisfactory","-1","-1","NA "
"VI","Indoor","4G","5","Satisfactory","-1","-1","NA "
"VI","Indoor","4G","5","Satisfactory","-1","-1","NA "
"VI","Indoor","4G","5","Satisfactory","-1","-1","NA "
"VI","Indoor","4G","5","Satisfactory","-1","-1","NA "
"VI","Indoor","2G","5","Satisfactory","-1","-1","NA "
"VI","Travelling","4G","5","Satisfactory","-1","-1","NA "
"VI","Outdoor","4G","5","Satisfactory","-1","-1","NA "
"VI","Outdoor","4G","5","Satisfactory","-1","-1","NA "
"RJio","Indoor","4G","5","Satisfactory","-1","-1","NA "
"VI","Indoor","4G","4","Satisfactory","21.12307011","79.06782401","Maharashtra"
"Airtel","Indoor","Unknown","1","Poor Voice Quality","21.13721761","72.77741968","Gujarat"
"VI","Indoor","Unknown","4","Satisfactory","21.12307011","79.06782401","Maharashtra"
"BSNL","Outdoor","3G","1","Call Dropped","12.9254094","77.6187812","Karnataka"
"BSNL","Outdoor","2G","1","Poor Voice Quality","-1","-1","NA "
"BSNL","Outdoor","3G","1","Call Dropped","-1","-1","NA "
"BSNL","Outdoor","3G","1","Call Dropped","-1","-1","NA "
"BSNL","Outdoor","3G","1","Poor Voice Quality","-1","-1","NA "
"Airtel","Indoor","4G","1","Poor Voice Quality","18.44208851","73.84835771","Maharashtra"
"RJio","Outdoor","4G","3","Satisfactory","-1","-1","NA "
"RJio","Indoor","4G","1","Call Dropped","-1","-1","NA "
"RJio","Indoor","4G","1","Call Dropped","-1","-1","NA "
"RJio","Indoor","4G","3","Satisfactory","-1","-1","NA "
"RJio","Indoor","4G","3","Satisfactory","-1","-1","NA "
"Airtel","Indoor","4G","1","Poor Voice Quality","18.44208851","73.84835771","Maharashtra"
"RJio","Indoor","4G","3","Satisfactory","-1","-1","NA "
"VI","Indoor","4G","5","Satisfactory","21.12307011","79.06782401","Maharashtra"
"RJio","Indoor","4G","5","Satisfactory","-1","-1","NA "
"VI","Outdoor","Unknown","4","Satisfactory","18.5197824","73.8561542","Maharashtra"
"VI","Outdoor","4G","4","Satisfactory","18.5198044","73.8561871","Maharashtra"
"VI","Outdoor","Unknown","4","Satisfactory","18.5196043","73.856089","Maharashtra"
"VI","Indoor","4G","4","Satisfactory","18.5197386","73.856179","Maharashtra"
"VI","Indoor","4G","4","Satisfactory","21.12307011","79.06782401","Maharashtra"
"VI","Indoor","Unknown","4","Satisfactory","21.12307011","79.06782401","Maharashtra"
"Airtel","Outdoor","4G","1","Call Dropped","-1","-1","NA "
"VI","Indoor","3G","4","Satisfactory","21.12307011","79.06782401","Maharashtra"
"RJio","Indoor","Unknown","1","Call Dropped","-1","-1","NA "
"RJio","Outdoor","Unknown","2","Call Dropped","-1","-1","NA "
"VI","Indoor","4G","4","Satisfactory","21.12307011","79.06782401","Maharashtra"
"VI","Indoor","3G","4","Satisfactory","21.12307011","79.06782401","Maharashtra"
"VI","Travelling","4G","4","Satisfactory","21.12307011","79.06782401","Maharashtra"
"VI","Indoor","4G","3","Call Dropped","21.12307011","79.06782401","Maharashtra"
"VI","Indoor","3G","4","Satisfactory","21.12307011","79.06782401","Maharashtra"
"VI","Indoor","3G","4","Satisfactory","21.12307011","79.06782401","Maharashtra"
"VI","Indoor","4G","2","Poor Voice Quality","13.0722979","80.1676255","Tamil Nadu"
"VI","Indoor","4G","5","Satisfactory","-1","-1","NA "
"RJio","Indoor","4G","1","Call Dropped","-1","-1","NA "
"RJio","Indoor","4G","1","Call Dropped","-1","-1","NA "
"RJio","Indoor","4G","1","Call Dropped","-1","-1","NA "
"RJio","Indoor","4G","5","Satisfactory","28.595224","77.0243857","Delhi"
"VI","Indoor","4G","4","Satisfactory","-1","-1","NA "
"VI","Indoor","4G","4","Satisfactory","-1","-1","NA "
"VI","Indoor","4G","4","Satisfactory","-1","-1","NA "
"RJio","Outdoor","4G","4","Satisfactory","-1","-1","NA "
"Airtel","Indoor","Unknown","4","Satisfactory","13.93622798","75.55987868","Karnataka"
"RJio","Outdoor","4G","3","Satisfactory","-1","-1","NA "
"RJio","Indoor","4G","5","Satisfactory","-1","-1","NA "
"RJio","Outdoor","4G","3","Satisfactory","-1","-1","NA "
"Airtel","Indoor","4G","4","Satisfactory","13.93692411","75.55763086","Karnataka"
"Airtel","Travelling","4G","2","Poor Voice Quality","-1","-1","NA "
"Airtel","Indoor","4G","1","Poor Voice Quality","-1","-1","NA "
"Airtel","Indoor","2G","1","Poor Voice Quality","-1","-1","NA "
"Airtel","Indoor","4G","1","Poor Voice Quality","-1","-1","NA "
"Airtel","Indoor","Unknown","4","Satisfactory","13.93692411","75.55763086","Karnataka"
"VI","Indoor","4G","4","Satisfactory","-1","-1","NA "
"VI","Indoor","4G","4","Satisfactory","21.12307011","79.06782401","Maharashtra"
"RJio","Outdoor","4G","3","Satisfactory","-1","-1","NA "
"VI","Outdoor","4G","3","Poor Voice Quality","-1","-1","NA "
"RJio","Outdoor","4G","1","Poor Voice Quality","-1","-1","NA "
"RJio","Outdoor","4G","1","Poor Voice Quality","-1","-1","NA "
"Airtel","Indoor","4G","5","Satisfactory","-1","-1","NA "
"Airtel","Indoor","4G","5","Satisfactory","-1","-1","NA "
"VI","Indoor","Unknown","4","Satisfactory","18.5195593","73.8560637","Maharashtra"
"VI","Indoor","4G","4","Satisfactory","21.12307011","79.06782401","Maharashtra"
"VI","Outdoor","4G","1","Poor Voice Quality","-1","-1","NA "
"VI","Outdoor","4G","1","Poor Voice Quality","-1","-1","NA "
"VI","Outdoor","4G","1","Poor Voice Quality","-1","-1","NA "
"VI","Travelling","4G","1","Poor Voice Quality","-1","-1","NA "
"VI","Outdoor","4G","1","Poor Voice Quality","-1","-1","NA "
"VI","Indoor","4G","1","Poor Voice Quality","-1","-1","NA "
"VI","Indoor","2G","5","Satisfactory","18.478976","74.0267027","Maharashtra"
"VI","Travelling","4G","1","Call Dropped","-1","-1","NA "
"VI","Indoor","4G","4","Satisfactory","-1","-1","NA "
"VI","Indoor","4G","4","Satisfactory","21.1230368","79.0678811","Maharashtra"
"RJio","Indoor","Unknown","5","Satisfactory","-1","-1","NA "
"RJio","Outdoor","Unknown","5","Satisfactory","-1","-1","NA "
"VI","Outdoor","Unknown","5","Satisfactory","-1","-1","NA "
"RJio","Outdoor","Unknown","5","Satisfactory","-1","-1","NA "
"RJio","Outdoor","Unknown","5","Satisfactory","-1","-1","NA "
"VI","Indoor","4G","4","Satisfactory","21.12527919","79.06397712","Maharashtra"
"RJio","Indoor","Unknown","5","Satisfactory","24.21887969","88.55119969","West Bengal"
"RJio","Outdoor","4G","3","Satisfactory","-1","-1","NA "
"RJio","Indoor","4G","3","Satisfactory","-1","-1","NA "
"MTNL","Travelling","2G","5","Satisfactory","19.0403409","72.9185815","Maharashtra"
"VI","Indoor","4G","4","Satisfactory","21.12527919","79.06397712","Maharashtra"
"MTNL","Indoor","2G","2","Poor Voice Quality","19.0403409","72.9185815","Maharashtra"
"VI","Indoor","4G","1","Poor Voice Quality","-1","-1","NA "
"VI","Indoor","4G","1","Poor Voice Quality","-1","-1","NA "
"Airtel","Indoor","Unknown","1","Poor Voice Quality","-1","-1","NA "
"Airtel","Indoor","Unknown","1","Poor Voice Quality","-1","-1","NA "
"Airtel","Outdoor","Unknown","2","Poor Voice Quality","-1","-1","NA "
"Airtel","Indoor","Unknown","2","Poor Voice Quality","-1","-1","NA "
"VI","Indoor","4G","1","Poor Voice Quality","-1","-1","NA "
"VI","Indoor","4G","2","Poor Voice Quality","-1","-1","NA "
"RJio","Indoor","4G","3","Satisfactory","22.0959084","74.0547976","Gujarat"
"VI","Travelling","4G","4","Satisfactory","21.12527919","79.06397712","Maharashtra"
"VI","Indoor","4G","4","Satisfactory","21.12527919","79.06397712","Maharashtra"
"VI","Outdoor","3G","1","Call Dropped","-1","-1","NA "
"VI","Outdoor","3G","1","Poor Voice Quality","-1","-1","NA "
"VI","Indoor","4G","4","Satisfactory","21.12527919","79.06397712","Maharashtra"
"BSNL","Travelling","3G","5","Satisfactory","-1","-1","NA "
"VI","Indoor","4G","4","Satisfactory","21.12527919","79.06397712","Maharashtra"
"VI","Outdoor","3G","1","Call Dropped","-1","-1","NA "
"VI","Indoor","4G","4","Satisfactory","21.12527919","79.06397712","Maharashtra"
"VI","Indoor","4G","1","Poor Voice Quality","-1","-1","NA "
"Airtel","Outdoor","4G","4","Satisfactory","-1","-1","NA "
"Airtel","Outdoor","4G","4","Satisfactory","-1","-1","NA "
"VI","Indoor","4G","4","Satisfactory","21.12309009","79.06796676","Maharashtra"
"VI","Indoor","4G","4","Satisfactory","21.12309009","79.06796676","Maharashtra"
"VI","Indoor","4G","4","Satisfactory","21.12309009","79.06796676","Maharashtra"
"VI","Indoor","4G","4","Satisfactory","21.12309009","79.06796676","Maharashtra"
"BSNL","Indoor","3G","1","Poor Voice Quality","-1","-1","NA "
"Airtel","Outdoor","4G","1","Call Dropped","-1","-1","NA "
"Airtel","Indoor","Unknown","4","Satisfactory","13.93687518","75.54814795","Karnataka"
"RJio","Outdoor","4G","3","Satisfactory","-1","-1","NA "
"RJio","Outdoor","4G","3","Satisfactory","-1","-1","NA "
"RJio","Indoor","4G","5","Satisfactory","-1","-1","NA "
"RJio","Outdoor","4G","3","Satisfactory","-1","-1","NA "
"RJio","Outdoor","4G","3","Satisfactory","-1","-1","NA "
"RJio","Outdoor","4G","4","Satisfactory","-1","-1","NA "
"BSNL","Indoor","3G","4","Satisfactory","22.6554639","88.3595466","West Bengal"
"Airtel","Indoor","4G","2","Poor Voice Quality","-1","-1","NA "
"VI","Outdoor","Unknown","4","Satisfactory","18.5102219","73.8462812","Maharashtra"
"VI","Outdoor","4G","4","Satisfactory","18.519775","73.8561912","Maharashtra"
"VI","Outdoor","4G","4","Satisfactory","18.519683","73.8561998","Maharashtra"
"VI","Outdoor","Unknown","4","Satisfactory","18.5192317","73.8565143","Maharashtra"
"VI","Outdoor","Unknown","4","Satisfactory","18.5192317","73.8565143","Maharashtra"
"Airtel","Indoor","4G","4","Satisfactory","13.9368119","75.5480614","Karnataka"
"VI","Indoor","4G","3","Satisfactory","-1","-1","NA "
"Airtel","Indoor","4G","1","Poor Voice Quality","-1","-1","NA "
"Airtel","Indoor","Unknown","2","Poor Voice Quality","-1","-1","NA "
"RJio","Outdoor","4G","3","Poor Voice Quality","-1","-1","NA "
"MTNL","Travelling","2G","1","Call Dropped","19.0403373","72.9185964","Maharashtra"
"VI","Indoor","4G","4","Satisfactory","21.12313353","79.06812764","Maharashtra"
"VI","Indoor","4G","4","Satisfactory","21.12313353","79.06812764","Maharashtra"
"RJio","Indoor","4G","3","Poor Voice Quality","-1","-1","NA "
"Airtel","Travelling","4G","2","Poor Voice Quality","12.02520763","76.97190113","Karnataka"
"RJio","Indoor","4G","5","Satisfactory","24.21895626","88.55123975","West Bengal"
"VI","Indoor","4G","5","Satisfactory","23.3511731","85.31841214","Jharkhand"
"BSNL","Indoor","3G","5","Satisfactory","-1","-1","NA "
"BSNL","Outdoor","Unknown","1","Poor Voice Quality","-1","-1","NA "
"BSNL","Indoor","3G","5","Satisfactory","-1","-1","NA "
"BSNL","Outdoor","Unknown","1","Poor Voice Quality","-1","-1","NA "
"BSNL","Outdoor","3G","1","Poor Voice Quality","-1","-1","NA "
"Airtel","Indoor","Unknown","4","Satisfactory","10.30306517","76.22305423","Kerala"
"RJio","Indoor","4G","5","Satisfactory","-1","-1","NA "
"VI","Indoor","4G","4","Satisfactory","21.14518708","79.08751799","Maharashtra"
"RJio","Indoor","4G","3","Satisfactory","-1","-1","NA "
"RJio","Indoor","4G","3","Satisfactory","-1","-1","NA "
"RJio","Indoor","4G","3","Satisfactory","-1","-1","NA "
"VI","Outdoor","4G","4","Satisfactory","18.5197451","73.8561959","Maharashtra"
"VI","Indoor","4G","4","Satisfactory","18.5197365","73.8561754","Maharashtra"
"VI","Indoor","4G","4","Satisfactory","21.14518708","79.08751799","Maharashtra"
"VI","Travelling","4G","4","Satisfactory","21.14518708","79.08751799","Maharashtra"
"VI","Indoor","4G","5","Satisfactory","23.1638754","77.44606043","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.1638754","77.44606043","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.1638754","77.44606043","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.1638754","77.44606043","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.1638754","77.44606043","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.1638754","77.44606043","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.1638754","77.44606043","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.16373848","77.44601534","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.16375629","77.44669494","Madhya Pradesh"
"BSNL","Outdoor","3G","1","Poor Voice Quality","-1","-1","NA "
"BSNL","Outdoor","3G","1","Call Dropped","-1","-1","NA "
"BSNL","Outdoor","2G","1","Call Dropped","-1","-1","NA "
"BSNL","Outdoor","3G","1","Call Dropped","-1","-1","NA "
"BSNL","Outdoor","3G","1","Call Dropped","-1","-1","NA "
"BSNL","Outdoor","3G","1","Call Dropped","12.9254111","77.6187885","Karnataka"
"VI","Indoor","4G","5","Satisfactory","23.16383018","77.44592473","Madhya Pradesh"
"VI","Outdoor","3G","1","Call Dropped","-1","-1","NA "
"VI","Indoor","4G","1","Poor Voice Quality","-1","-1","NA "
"VI","Indoor","4G","1","Call Dropped","-1","-1","NA "
"RJio","Indoor","4G","1","Call Dropped","23.6257783","86.1799859","Jharkhand"
